text,label
"USER Tetap aja SALAH dimata bani kampret.. katanya tinggal tunggu kontrak abis, jadi msh ada peluang nyolong klo JKW ga 2 periode, diperpanjang lg kontraknya, makin tebellah kantong2 tikus berdasi'",1
USER USER USER USER USER USER USER USER USER USER USER Bilangin wendy unnie suru jemput vider sebelum dia dijual mucikari',0
USER USER temenku jg punya temen di china yg sering main sama fans2 yg punya mata2 dimana-mana gitu deh.. mau aku kenalin? eh tp mereka kalo tau apa2 gt diem ae sih ga bikin thread gini... keknya si mba muach gabisa deh :(',0
"Ini lho mengkritik yg dimaui pak USER yaitu kritik tp ngasih solusi spt USER .. lha USER jg contoh pemimpin yg bener, dikritik malah bilang terimakasih..kalo pemimpin Kayak mereka semua, pasti Indonesia beres!! USER USER USER @",0
Ya ampun bentar lagi nyampe jkt... apakah ini mimpi burik',0
USER Ngentod yuk saynk',0
"Lain betul mood ngantuk tapi kena bljr sbb bsk exam ni. Mouse nda function kena ampas, pen putus2 kena kasi patah terus. \xf0\x9f\x98\xa9'",0
"USER USER Tapi anda tetap tidak bisa menafikkan fakta bahwa ""dakwah"" yg ngajak orang memerangi orang lain itu ada. Dan itu sudah terjadi sejak era bom bali. Bukan hny yg trjd kmrn di surabaya saja.'",0
"hati-hati penjajh cina pakai cara belanda adu domba pribumi, sebelum terlambat usir para china bangsat dari NKRI",1
"USER USER USER USER Tulisanya sll menyudutkan pemerintah dan di ada2 kan , issue tka Cina Sdh ga ditulis lg semenjak dibuktikan USER berkunjung ke polewali..kalo Blom waaah tiap hari itu2 aja Yg ditulis ..'",0
Wajar jika USER n kivlan zein benci dgn PKI. Wajar jg PKI benci dgn mrk jg para simpatisannya. daruratPKI URL,1
USER Onta ya beginilah.. kaga punya otak kaga bisa mikir..picik..',1
"USER kesian, yg ada tu sarapan bkn sarap tauu'",0
USER USER ..... Pak Prof. ..... Jangan pak Prof. Bilang itu cuma soal pendapat.... Itu tdk benar karena disampaikan di forum terbuka.... Itu ngaco dan tdk bisa di biarkan.... Pak Prof. Sebagai pemuka agama dan sebagai Ulama harusnya melur,0
USER USER Efek dari UU MD3. Boleh komen sesuka hati.',0
RT USER Daripada menghentikan KPK lebih baik bubarkan DPR rakus yg tdk berguna untuk rakyat,1
Umat Hindu dipermak Tentara Budha Radikal jadi ''Teroris Muslim Rohingya''!,1
GANYANG PKI BESERTA ANTEK-ANTEKNYA !,1
"2019, jika SBY + PRABOWO menyatu melawan MEGA + JOKOWI , maka peristiwa 2004 akan terulang dimana PDIP yg Incumbent dikalahkan mutlak oleh SBY. ; ; Tp jk JKW+MEGA+SBY melawan PRABOWO, mk Pilpres selesai sudah. ; ; Jk 3 Poros di Pilpres, mk salah satu Lawan",0
RT USER: banyak banget lelaki brengsek di dunia ini mudah2an kamu gak termasuk ya URL,0
USER Lu mah ga budek cuman congean',1
"Bersiap usir sepasang= ASING-CINA,, USER USER USER USER USER USER USER SelamatkenHutan",1
Agak horror juga dapet smirk dari orang asing',0
"#pru14 Presiden PAS Datuk Seri Abdul Hadi Awang tidak akan mempertahankan kerusi Dewan Undangan Negeri (DUN) Rhu Rendang, sebaliknya hanya akan bertanding kerusi Parlimen - Setiausaha Agung PAS, Datuk Takiyuddin Hassan",0
USER Politisasi Radikal ciri khas Komunis.',0
USER Nu bodong (SAS) yg dukung Jokowi klo NU garis lurus ( KH Hasyim Azhari) tdk akan dukung jolowi,1
"Presiden kita jarang ke Afrika, kecuali ada KTT di sana. Sementara pemimpin-pemimpin Afrika sering ke Indonesia. Ada atau tidak untuk menghadiri KTT di Indonesia. #KAA63Tahun #IndonesiaAfrika",0
"Belum Sepaham dgn Kepemimpinan Pak JOKO WIDODO Aku dgn Kerendahan Hati mengajak Marilah Bersama sama, ""Kita Dukung Pak JOKOWI 2 Priode Percayalah INDONESIA yg sudah Baik menjadi Jauh lebih baik Kerja kerja kerja Melayani RAKYATnya setelah 2019 s/d 2024 Ber",0
USER USER USER USER USER USER USER USER USER USER USER USER USER Gue rakyat indonesia sukarela memberantas cebong komunis.',1
Kalau nak jadi:-; Pakar Ekonomi.. Masuk JASA; Pakar Perundangan.. Masuk JASA; Pakar Percukaian.. Masuk JASA; Pakar Strategi Komunikasi.. Masuk JASA; Pakar Polisi Antarabangsa.. Masuk JASA; Pakar Psikologi.. Masuk JASA; Universiti JASA untuk semua!; Kelayak,0
Siapa Pasangan Calon Gubernur dan Wakil Gubernur pilihan anda dalam Debat Terbuka Pilgub Jateng 2018 malam ini?,0
virus tingkat dewa pake antivirus ngga ketauan.. sarap abis',0
RT USER Kalah suara terus menyalahkan... katanya jaman jokowi oke kok dibilang mundur... haha kampret!,1
Sy yakin klo rakyat di suruh mmilih spa harus di bubarkan psti nya DPR yg hrs di bubarkan ! wlo ga ssuai kntitusi URL,1
"USER Yang sombongkan situ, kampret. Cebong mah rendah hati dan rajin mengaji..\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d'",1
"USER Setelah itu aset negara dijual semua ya pak Ruhut, hebat bener!! Krn itu impor pangan merajalela, BBM naik membabi-buta, 10jt lowongan kerja buat Aseng, itulah hebatnya pak Joko Widodo, bikin rakyat dan negara semakin sengsara. Hancur suda",1
"Emyu mau kedatangan pemain asal Arab. Biar berkah kayaknya. Kan udah lambangnya setan, dukung LGBT lagi. Jadinya harus diseimbangkan.'",0
"Yang broken time ii muda ni, tolonglah jangan lah broken. Korang ada masa depan do. Jangan sebab cinta monyet korang tak dapat nak achieve your freakin' goals though.""",0
USER Bu guru enakan jadi jablay atau guru esde sih. Kayaknya menikmati jadi pecun ini guru.',1
Kentutmu wi..... Jokowi pendusta pembohong... Penghutang... Ditaktor otoriter ndeso,1
"USER USER Itu cuma bacot doang,gue yakin tdk akan berani melakukan.'",0
"RT USER: Bukan hanya anjing, babi pun demikian. Monggo jika berkenan \xf0\x9f\x91\x89 URL URL",0
USER wah orang goblok sekarang bisa main twitter ya?',1
"USER Ingat baik-baik kata si royson, ""jokowi kacung gua..!"" Itulah mungkin alasan fundamentalnya kenapa rezim ini justru seperti sengaja masuk ke dalam ""Debt Trap"" KOMUNIS CINA! So, menjadi wajib untuk #2019GantiPresiden!'",1
"Wah, kasihan relawan komisaris bisa minder ketemu Boss orang bule. Brekekekekekek",0
Kereta ini adalah AC Ekonomi menuju Serpong. Aku akan segera berangkat. Harap dicatat di pintu.,0
"Sejahat manapun dia jangan di hina kisah silam hidup dia. Jika dia seorang pendosa, kamu juga seorang pendosa. Kerana selagi kamu bernama manusia, TIDAK akan terlepas daripada melakukan Kesilapan dan Dosa . #AkuSeorangPendosa #liku2kehidupan'",0
USER Sekelas presiden gak paham aturan. Indonesia bisa hancur kalo gini terus. #2019GantiPresiden,1
USER USER USER Aseeqqqq iyaa oppa oppa sipit gtu',0
Setelah itu wanti wanti ke semua orang pakai nama saya supaya dapat gereja katolik',0
USER Medali Indonesia di Olimpiade 90% dipersembahkan oleh orang2 Kristen. Mikir....',0
"USER USER ngakunya dulu pernah burik juga,percaya ga tapi?'",0
"USER USER Kampungan bgt sih ngomongnya , diatas bahas apa lu jawab apa \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8fSorry nga level berdebat ama Lu , Dungu otaknya\xf0\x9f\x91\x8e'",1
Negara teroris itu ternyata mayoritas Budha,1
Proyek Pembangunan Bendungan Pelosika Dibatalkan Presiden,0
Apa USER USER tau kalo hari ini kita ttd menguasai 51% saham PFI.masih mau teriak pro asing lagi?? Saat kamu jadi ketua MPR sudah melakukan apa utk paksa PFI kasih 51% saham ke Indonesia???',0
"Indonesia saat ini sedang darurat teroris, berbagai rentetan kejadian terorisme terjadi di Kota Surabaya dan Sidoarjo. Di Surabaya, bom meledak di 3 gereja dan mapolrestabes. Menurut artikel yg saya baca, pelaku dari aksi teror ini adalah 1 keluarga. .",0
USER Banyak keturnan PKI marah tu pak',0
USER USER USER Abu gosok janda Udh pa dungu lgi yg gini jdi pengingkutnya presiden malu maluiin aja jokowi aja',1
"USER Beradaptasi dgn budaya lokal adalah strategi survival Gereja. Di Katolik tdnya tdk mau, maunya ibadah tetap pake bhs Latin'",0
"Kalau pengen lebih mengigit, Prabowo sebaiknya duet dengan Rizal Ramli. Aura nasionalisme dan perlawanan terhadap hegemoni asing akan menjadi antitesa terhadap Rezim saat ini.'",0
RT USER: Provider brengsek',1
#BahasaAmbon :SARANI = Sebutan orang Maluku untuk penganut agama KRISTEN.,0
Gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik / buruk :)',0
USER Jijik gua cowo2 pake baju pink2 PERNAH GUA NONTON VIDKEP KAN YA. GUA KIRA CEWE. KAKINYA MUNGIL. PAKE KAOS KAKI YANG SEPAHA ITU WARNA PINK. PAKE BAJU PINK YANG PANJANG SAMPE SEPAHA PAS DIBUKA ISINYA TITIT. ASUUUUU',0
Ngaku islam tapi belain penista agama terus..berkedok pejuang HAM...hamburger kaleee..; Orangnya die2 juga...mau tau siapa aja?; Cekidot..ini kata ustad USER,0
RT USER pendukung Ahok pada ditangkap semua.. Dijaman jokowi pula lagi...,1
2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0
"USER USER Biar tak dikritik bila kita tambsh mesra dgn komunis cina, kan lg perang dagang ama AS.'",0
USER USER lu yang munafik ngaku golput tapi panas dingin belain si kuli cina itu kejang2 liat orang kagum sama pemimpin yg karismatik bukan yg plonga plongo\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1
"USER USER USER Tangkap dan langsung bebaskan, krn dia sedang melucu......najis'",1
"8. Presiden USER: Mulai dari kira-kira pembukaan seperti apa, pertandingannya seperti apa hingga penutupannya. Juga kesiapan atlet-atlet kita yang akan berlaga di #AsianGames2018 #JokowiPacuPromosiAsianGames #YukPromosikanAsianGames18",0
USER USER Aku bukan minat pun mail. Tapi looking at whole..Ya dia memang dulunya cheater. Tapi dia da mengaku silap dia and minta maaf. Yg sampah sarap adalah kau . Sshhh',1
Ada berita bom di barel bikin shock. Trs td maunya pulang aja kerumah gamau bobo di kost',0
"RT USER: Thailand, negara di asia yg cowoknya punya kontol besar URL",0
Mau balik ke Orba? Pilihlah Prabowo mau lanjutkan reformasi? Pilihlah Jokowi. Nasib memang pilihan tak terkecuali nasib negara juga. :-),1
USER jari tu dah kenapa? cacat eh?',0
USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Lebih teruk daripada Ya,0
USER USER USER USER USER USER USER USER USER USER PKI YANG MAU MERUSAK ISLAM ....BAHAYA !!!!',1
USER kirain orang-orang kayak gini cuma karangan fiksi anjir',0
Terkadang jatuh cinta itu bisu. Hanya bicara pada secarik puisi yang sembunyi. Di balik makna yang akan dikenangnya sendiri.',0
Selamat Hari Kartini 2018. Perempuan hebat untuk Indonesia Maju -Jkw,0
Memahami eksistensi KPK dg logika Korupsi maka sama halnya mendirikan Lembaga anti maling utk memberantas Maling. Bubarkan KPK,1
"Bila nak kawin ni kena simpan duit,ilmu agama kena cukup, semua benda kena cukup la senang cerita",0
"#kom3 Menkumham: pernah kita debat UU Pilkada dulu, diketok, pendekatan waktu itu presiden mengeluarkan Perppu, tapi skrg ini presiden tdk menandatanganinya.",0
"RT USER: USER Jadi inget dulu pernah rela fotoin tugas dan catetan, bahkan smp begadang bikinin tugas pas doi gamasuk krn bok\xe2\x80\xa6'",0
Klo benar setya novanto nitip absen .... Bener bener politisi koplak bikin malu wakil rakyat.....pecat dia....,1
"... Tapi jgn risau, server yg pki SSD, 24/7 heavy usage pun ada around more than a year before SSD tu worn out. Itu jangka masa dia lah. So kalau laptop biasa, aku jangkakan lebih dari dua tahun korang boleh pakai. Tu pun kalau takde pape tindakan bo",0
"Setiap kritik ke jokowi pasti dianggap nyinyir ama bani kolam. Mau mrk, itu kritik lalu diujungnya hrs dukung 2 periode. Lo kritik tp gak dukung, artinya nyinyir dan itu haram. Begitu definisi kritik ala cebi. Dan nalarpun rusak parah....'",1
USER USER USER USER USER USER Umatnya anies sandi tuh mkne otaknya dobol..,1
Wasit picek ini !',1
USER Bagaimana dgn sampah USER bu USER?',0
"Agama =kebaikan tak perlu Toleransi, Pak Lukman. Muslim tak akan paham Toleransi slma nyembah2 Allah SWT benci kafir",1
"Pada nanya \xe2\x80\x9cAza kok benci bgt sm film TTM\xe2\x80\x9d. Jawabannya \xe2\x80\x9cpemainnya Adipati\xe2\x80\x9d simple kan? Adipati itu GANTENG sih cuma dia itu aktor yg tdk beretika. Childish, dan kampungan. Terlalu byk drama di hidupnya. Dan his picture always in my explore. I dunno why\xf0\x9f\x98\x9e'",0
cewe itu gak selama nya bisa sabar ngadepin kelakukan bajingan laki-laki',0
USER USER betul bro.. PSI ini isinya sontoloyo semua bro.. yang jelas salah malah dilindungi dan diushakan menjadi benar..',1
"USER Wonu oppa kenapa matanya sipit banget? '^'""",0
Bung Karno juga dihianati PKI yang PKI itu mayoritas orang Jawa kemudian PKI di bantai lagi sama Pak Harto yang dari Jawa. Sekarang malah Jokowi mewakili suara mayoritas Jawa yang pro asing.',1
"Kebon Sayur di Deli Serdang &amp; Kebun Buah di Binjai ... Kebun Sayur Football Stadium ... SD Katolik Karya Yosef ... Evi Layanto is Ronaldo Pardede's wife, Su Pin is Ronaldo Pardede's wife, The Lie Tju is Ronaldo Pardede's wife.""",0
"Kadar ""penderitaan"" tiap orang tuh beda-beda. Jangan pernah komparasi atau nganggep enteng ketika orang cerita. Inget, ane ulang lagi yeh, kite tuh punya congor satu kuping dua. BANYAKIN MENDENGAR MEANS NO HARM LHO :)'",0
"Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018; .; .; ...",0
Ini Daftar Lengkap 14 Proyek yang Dicoret Jokowi dari PSN; ;,0
Kerja Sama RI-Google Memperkuat Arsip Digital Budaya Nusantara,0
8 tahun suka sama temen sebangku SMP. Dan akhirnya hari ini secara tidak sengaja dia tau semuanya. Mampus gak tuh',0
"Keduanya menganut agama Syiwa Buddha (perpaduan Buddha dan Hindu Bali). Mereka sempat sejahtera, sebelum akhirnya sisi spiritual membuka jalan yang lain.'",0
"USER USER USER USER Emng bego, pake tag gw.'",1
USER USER Pantesan parpol si anu berusaha keras menjegal pengesahan UU ini yaa. Tapi takut juga presiden ngeluarin Perpu. Menarik melihat cara presiden ksh ancaman. Lgsg mingkem dan ketok paluu tok tok tok',1
USER USER APAAN KALIAN BELEK ONTA\xf0\x9f\x98\xa4 NGOMONG GUE DARI BELAKANG KAAN\xf0\x9f\x94\xa8\xf0\x9f\x98\xa4',1
Aku nasihatkan tak payah la kau merantau kerja luar. kejutan budaya kau ni nanti dengan life baru. ð??ª,0
Presiden Joko Widodo meminta agar Sistem Perizinan Berusaha Terintegrasi Secara Online atau Online Single #RakyatB3rsamaJKW,0
"RT USER: USER USER Kalo mau menistakan agama lain jangan pake ""assalamualaikum"" kasihan umat muslim yang lain yang hat\xe2\x80\xa6'",0
"USER USER USER USER USER USER Uang puluhan triliun dari Inalum adalah hasil merger BUMN Tambang yang ujung2nya saham bbrp BUMN tambang yg dijual ke asing untuk divestasi Free Port, artinya yg dilakukan pemerintah ada",0
Susu kntl manis.',0
USER KENAPA BOLOT',0
"Ini kantor apa tempat pembuangan sih? Anjirr bau bangke bgt,,,, bgstt!'",1
"Apa KASN BERANI LAWAN?KL.IYA RAKYAT SALUT..!JGN HNY KY OMBUSMAN..KOAR2 TRS.DIEM.MANA HASILNYA?MALAH NGURUSI TKA DISULUT!APAAN TUH..TANAH ABANG DITUTUP.USER BUNGKAM.PD TAKUT ORMAS ATAU TAKUT G DPT/DISETUJUI BAGIAN APBD?KL NIAT UD USUT ,PASTI B",1
"USER USER USER Intinya pokok pikiran adalah sumatra memiliki kekayaan atas oil, karet, sawit,batubara dlsb dan tidak ingin kekayaan mereka dijual oleh pemerintah jawa pada asing dan koruptor terlebih bisa jalankan syaret islam tanp",0
#Boikotindosat ini si kuning taiiii pulsa pagi tadi Rp. 2000 an masih kepotong juga tinggal Rp. 1. padahal gk di ngapain... bener gk menghargai pelanggaan sepertinya. budek... taiiiii',1
"Seoul kini menjadi salah satu destinasi favorit di Asia. Selain budaya yang unik, hallyu atau Korean wave menjadi faktor utama membuat Seoul kebanjiran traveler. Nah, buat kamu yang mau jelajah ke Korea, intip dulu 6 Hal Seru yang dapat kamu lakukan di Seo",0
"Cewek2 bilang: semua cowok itu brengsek. tapi mereka salah. gue bukan tipe cowok brengsek, tapi gue COWOK BAJINGAN. :p'",0
USER Aku mau ngentot sama kamu',0
BANGSAAAT TOLOL AJG BANGSAT AJG TOLOL OON BLOON BEGO AJGGGGGGGGG ALAY AJG BANGSAT JABLE',1
USER LAHH ITU DN LU BUNDA GEBLEK',1
Ada Kemungkinan Gaji ke-13 dan 14 PNS Dibayar Bulan Juni via USER,0
"OpRohingya orang Kristen mmbunuh kita di Afghanistan orang Yahudi mmbunuh kita di Palestina tp""Muslim"" yg Teroris?",1
"RT RudyGoni ""RT RPGpedia: Ada dua calon Gubernur di Jawa Tengah tapi pemenangnya hanya 1 Ganjar Yasin; ; #KamiGanjarYasin ; #KandangBant3ng; ; Salamnya; #TemannyaRPG; #namakuRUDY; #TemannyaRUDY""",0
"Pemecatan tidak masuk akal USER memberi pelajaran,, Jama'ah dan Parpol harus dipisah.. ; Jama'ah harus menjadi Ulama Pewaris Nabi. Mampu menegakkan Keadilan Buat Alam Semesta.; Cc USER USER USER USER USER @",0
Perampok goblok. URL,1
Sikap ketakutan rezim di tunjukan melalui presidential threshold. #jumatberkah.',0
USER USER Ancem2an kaya banci aja jancok',1
USER USER USER Catet satu cebong kader Komunis Indonesia.',1
USER FARAH DUH AQ BOM LAMA LAMA QM DEK',0
Anda sudah tahu Kebajikan Khonghucu Pak Lukman? Tidak ada ajaran cocok2 penis dengan 4 istri dan penggal kafir kan?,1
"USER Giliran berita yg kayak gini para cebonk bermunculan dr kolam, tp kemarin saat presiden kita dihina kalian para cebonk pura2 tuli dan bisu,,, ternyata cinta kalian palsu..'",1
Oleh rezim skrg atas kendali Negara Cina Komunis yg mjd patron tunggal rezim anti islam ( Jokowi ),1
"''Pao An Tui adalah sisi kelam masyarakat Cina di era awal kemerdekaan Indonesia..!\xe2\x80\x99\xe2\x80\x99pernyataan ini ditegaskan mantan wartawan senior Republika""",0
"Itu baru bullying about body shaming yaa. Jadi bullying yang suka ngatain gendut, kurus, item, sipit dll.'",0
USER Karena yg meneliti orang Kristen China. Hehehe',0
USER USER Era SBY ada pembangunan di papua? Ada juga hambalang tuh... pembangunan pln mangkrak brp banyak?,1
